ID	endo.reads	input.reads	frag.length	ChIP.bam	paired.end	source	mark	replicate	Input.names	Input.bam
ChIP_Bilodeu_SETDB1_r1	3278095	3549005	137	ChIP_Bilodeu_SETDB1_r1.srt.nodup.bam	FALSE	Bilodeu	SETDB1	r1	ChIP_Bilodeu_input_r1	ChIP_Bilodeu_input_r1.srt.nodup.bam
ChIP_Bilodeu_SETDB1_r2	2991883	3549005	126	ChIP_Bilodeu_SETDB1_r2.srt.nodup.bam	FALSE	Bilodeu	SETDB1	r2	ChIP_Bilodeu_input_r1	ChIP_Bilodeu_input_r1.srt.nodup.bam
ChIP_Bilodeu_SETDB1_r3	3841878	3549005	130	ChIP_Bilodeu_SETDB1_r3.srt.nodup.bam	FALSE	Bilodeu	SETDB1	r3	ChIP_Bilodeu_input_r1	ChIP_Bilodeu_input_r1.srt.nodup.bam
ChIP_Blackledge_H2AK119ub1_r1_R1	21010046	8485772	149	ChIP_Blackledge_H2AK119ub1_r1_R1.srt.nodup.bam	TRUE	Blackledge	H2AK119ub1	r1	ChIP_Blackledge_input_r1_R1	ChIP_Blackledge_input_r1_R1.srt.nodup.bam
ChIP_Blackledge_H2AK119ub1_r2_R1	34694444	4246899	150	ChIP_Blackledge_H2AK119ub1_r2_R1.srt.nodup.bam	TRUE	Blackledge	H2AK119ub1	r2	ChIP_Blackledge_input_r2_R1	ChIP_Blackledge_input_r2_R1.srt.nodup.bam
ChIP_Bulut_SUV39H1_r1_R1	5807507	35439086	322	ChIP_Bulut_SUV39H1_r1_R1.srt.nodup.bam	TRUE	Bulut	SUV39H1	r1	ChIP_Bulut_input_r1_R1	ChIP_Bulut_input_r1_R1.srt.nodup.bam
ChIP_Bulut_SUV39H1_r2_R1	6026125	35439086	294	ChIP_Bulut_SUV39H1_r2_R1.srt.nodup.bam	TRUE	Bulut	SUV39H1	r2	ChIP_Bulut_input_r1_R1	ChIP_Bulut_input_r1_R1.srt.nodup.bam
ChIP_Bulut_SUV39H2_r1_R1	3519029	35439086	302	ChIP_Bulut_SUV39H2_r1_R1.srt.nodup.bam	TRUE	Bulut	SUV39H2	r1	ChIP_Bulut_input_r1_R1	ChIP_Bulut_input_r1_R1.srt.nodup.bam
ChIP_Bulut_SUV39H2_r2_R1	4500529	35439086	274	ChIP_Bulut_SUV39H2_r2_R1.srt.nodup.bam	TRUE	Bulut	SUV39H2	r2	ChIP_Bulut_input_r1_R1	ChIP_Bulut_input_r1_R1.srt.nodup.bam
ChIP_EncodePennstate_H3K36me3_r1	45437292	43000801	174	ChIP_EncodePennstate_H3K36me3_r1.srt.nodup.bam	FALSE	EncodePennstate	H3K36me3	r1	ChIP_EncodePennstate_input_r1	ChIP_EncodePennstate_input_r1.srt.nodup.bam
ChIP_EncodePennstate_H3K36me3_r2	31250758	41937506	166	ChIP_EncodePennstate_H3K36me3_r2.srt.nodup.bam	FALSE	EncodePennstate	H3K36me3	r2	ChIP_EncodePennstate_input_r2	ChIP_EncodePennstate_input_r2.srt.nodup.bam
ChIP_Healy_H3K27me1_r1	9214138	15550770	100	ChIP_Healy_H3K27me1_r1.srt.nodup.bam	FALSE	Healy	H3K27me1	r1	ChIP_Healy_input_r1	ChIP_Healy_input_r1.srt.nodup.bam
ChIP_Healy_H3K27me2_r1	4429011	15550770	269	ChIP_Healy_H3K27me2_r1.srt.nodup.bam	FALSE	Healy	H3K27me2	r1	ChIP_Healy_input_r1	ChIP_Healy_input_r1.srt.nodup.bam
ChIP_Jiang_H3K9me2_r1	111231531	29861432	193	ChIP_Jiang_H3K9me2_r1.srt.nodup.bam	FALSE	Jiang	H3K9me2	r1	ChIP_Jiang_input_r1	ChIP_Jiang_input_r1.srt.nodup.bam
ChIP_Klose_SUZ12_r1_R1	35938998	5855400	200	ChIP_Klose_SUZ12_r1_R1.srt.nodup.bam	TRUE	Klose	SUZ12	r1	ChIP_Klose_input_r1_R1	ChIP_Klose_input_r1_R1.srt.nodup.bam
ChIP_Klose_SUZ12_r2_R1	29892751	5279447	184	ChIP_Klose_SUZ12_r2_R1.srt.nodup.bam	TRUE	Klose	SUZ12	r2	ChIP_Klose_input_r2_R1	ChIP_Klose_input_r2_R1.srt.nodup.bam
ChIP_Klose_SUZ12_r3_R1	27137635	6649445	184	ChIP_Klose_SUZ12_r3_R1.srt.nodup.bam	TRUE	Klose	SUZ12	r3	ChIP_Klose_input_r3_R1	ChIP_Klose_input_r3_R1.srt.nodup.bam
ChIP_Lavarone_H3K27me1_r1	33345279	27839547	275	ChIP_Lavarone_H3K27me1_r1.srt.nodup.bam	FALSE	Lavarone	H3K27me1	r1	ChIP_Lavarone_input_r1	ChIP_Lavarone_input_r1.srt.nodup.bam
ChIP_Lavarone_H3K27me2_r1	44374423	27839547	373	ChIP_Lavarone_H3K27me2_r1.srt.nodup.bam	FALSE	Lavarone	H3K27me2	r1	ChIP_Lavarone_input_r1	ChIP_Lavarone_input_r1.srt.nodup.bam
ChIP_Tuberfield_H3K36me2_r1_R1	34224542	7812304	186	ChIP_Tuberfield_H3K36me2_r1_R1.srt.nodup.bam	TRUE	Tuberfield	H3K36me2	r1	ChIP_Tuberfield_input_r1_R1	ChIP_Tuberfield_input_r1_R1.srt.nodup.bam
ChIP_Tuberfield_H3K36me2_r2_R1	29889492	6662665	184	ChIP_Tuberfield_H3K36me2_r2_R1.srt.nodup.bam	TRUE	Tuberfield	H3K36me2	r2	ChIP_Tuberfield_input_r2_R1	ChIP_Tuberfield_input_r2_R1.srt.nodup.bam
ChIP_Tuberfield_H3K36me2_r3_R1	30292036	7960137	184	ChIP_Tuberfield_H3K36me2_r3_R1.srt.nodup.bam	TRUE	Tuberfield	H3K36me2	r3	ChIP_Tuberfield_input_r3_R1	ChIP_Tuberfield_input_r3_R1.srt.nodup.bam
ChIP_Wu_SETDB1_r1_R1	8821730	8744918	147	ChIP_Wu_SETDB1_r1_R1.srt.nodup.bam	TRUE	Wu	SETDB1	r1	ChIP_Wu_input_r1	ChIP_Wu_input_r1.srt.nodup.bam
ChIP_Yan_H3K4me1_r1	24433654	19005143	185	ChIP_Yan_H3K4me1_r1.srt.nodup.bam	FALSE	Yan	H3K4me1	r1	ChIP_Yan_input_r1	ChIP_Yan_input_r1.srt.nodup.bam
ChIP_Yan_H3K4me1_r2	19413797	4301656	175	ChIP_Yan_H3K4me1_r2.srt.nodup.bam	FALSE	Yan	H3K4me1	r2	ChIP_Yan_input_r2	ChIP_Yan_input_r2.srt.nodup.bam
