ID	clone	replicate	run	condition
RNA_417_r1	417	r1	AUG	MCM2_2A
RNA_417_r2	417	r2	AUG	MCM2_2A
RNA_418_r1	418	r1	AUG	MCM2_2A
RNA_418_r2	418	r2	AUG	MCM2_2A
RNA_419_r1	419	r1	AUG	MCM2_2A
RNA_419_r2	419	r2	AUG	MCM2_2A
RNA_421_r1	421	r1	AUG	MCM2_2A
RNA_421_r2	421	r2	AUG	MCM2_2A
RNA_438_r1	438	r1	MAR	MCM2_2A
RNA_438_r2	438	r2	MAR	MCM2_2A
RNA_438_r3	438	r3	MAR	MCM2_2A
RNA_439_r1	439	r1	JAN	MCM2_2A
RNA_439_r2	439	r2	JAN	MCM2_2A
RNA_439_r3	439	r3	JAN	MCM2_2A
RNA_439_r4	439	r4	MAR	MCM2_2A
RNA_439_r5	439	r5	MAR	MCM2_2A
RNA_439_r6	439	r6	MAR	MCM2_2A
RNA_442_r1	442	r1	JAN	MCM2_2A
RNA_442_r2	442	r2	JAN	MCM2_2A
RNA_442_r3	442	r3	JAN	MCM2_2A
RNA_443_r1	443	r1	AUG	MCM2_2A
RNA_443_r2	443	r2	AUG	MCM2_2A
RNA_410_r1	410	r1	MAR	WT
RNA_410_r2	410	r2	MAR	WT
RNA_410_r3	410	r3	MAR	WT
RNA_410_r4	410	r4	AUG	WT
RNA_410_r5	410	r5	AUG	WT
RNA_422_r1	422	r1	JAN	WT
RNA_422_r2	422	r2	JAN	WT
RNA_422_r3	422	r3	JAN	WT
RNA_503_r1	503	r1	AUG	WT
RNA_503_r2	503	r2	AUG	WT
RNA_506_r1	506	r1	AUG	WT
RNA_506_r2	506	r2	AUG	WT
RNA_507_r1	507	r1	AUG	WT
RNA_507_r2	507	r2	AUG	WT
RNA_508_r1	508	r1	AUG	WT
RNA_508_r2	508	r2	AUG	WT
RNA_509_r1	509	r1	AUG	WT
RNA_509_r2	509	r2	AUG	WT
RNA_510_r1	510	r1	AUG	WT
RNA_510_r2	510	r2	AUG	WT
