gene	type
Zscan4d	2C
Zscan4c	2C
Zscan4e	2C
Zscan4f	2C
Zscan4b	2C
Zfp352	2C
Tcstv3	2C
Tcstv1	2C
Tdpoz4	2C
Pramel7	2C
Trim43a	2C
Dazl	Reproduction
Tex15	Reproduction
Hormad2	Reproduction
Gm10256	Reproduction
Gm21708	Reproduction
Gm37245	Reproduction
Trim43b	Differentiation
Foxn4	Differentiation
Muc3	Differentiation
Gata6	Differentiation
Sox17	Differentiation
Hnf4a	Differentiation
Pou4f3	Differentiation
Tbx4	Differentiation
Nr1i2	Differentiation
Fgfr4	Differentiation
Pdgfra	Differentiation
Klb	Differentiation
Cryaa	Differentiation
Olfr1459	Olfactory 
Olfr901	Olfactory 
